cruise	Year	Month	Instrument	tcut1	tcut1_gt_lt	tcut2	tcut2_gt_lt	lim1_1	lim1_2	lim2_1	lim2_2	fact.sd2	lim3_1	lim3_2	fact.sd3	lim4_1	lim4_2	lim5_1	lim5_2	fact.sd5	lim6_1	lim6_2	fact.sd6	lim7_1	lim7_2	fact.sd7	fact.sd8	spar.8	Comment
MGL1704	2017	May	751	NA	NA	NA	NA	11.95	12.05	9000	18000	4	0	5000000	4	1	3500	0.0001	0.1	5	0.35	0.8	6	0.6	1.4	5	6	missing	
RR2106	2021	September	751v2	NA	NA	NA	NA	11.95	12.05	2000	18000	3	0	3000000	3	300	3500	0.0001	0.01	5	0.35	0.9	6	0.7	2.3	5	8	0	
SCOPE_1	2014	December	740	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	1	3500	0.001	0.01	5	0.35	0.7	6	0.7	1.4	5	4	missing	Oddly formatted, the numbers for the limits did not match their purpose based on other curation notebooks
SCOPE_10	2015	October	751	NA	NA	NA	NA	11.95	12.05	6000	18000	2	1000000	3000000	4	250	3500	0.0035	0.01	3	0.35	0.9	6	0.7	1.4	5	5	NULL	
SCOPE_11	2015	November	740	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	1	3500	0.005	0.02	5	0.35	0.8	6	0.7	1.4	5	4	missing	
SCOPE_12	2016	January	740	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	1	3500	0.005	0.1	5	0.35	0.7	6	0.7	1.4	5	4	missing	
SCOPE_13	2016	February	740	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	1	3500	0.005	0.1	5	0.35	0.7	6	0.7	1.4	5	3	missing	
SCOPE_14	2016	March	740	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	1	3500	0.005	0.1	5	0.35	0.7	6	0.7	1.4	5	4	missing	
SCOPE_15	2016	April	751	NA	NA	NA	NA	11.95	12.05	6000	18000	2	0	5000000	3	300	3500	0.001	0.01	3	0.35	0.9	6	0.7	1.4	5	5	NULL	
SCOPE_16	2016	April	751	NA	NA	NA	NA	11.95	12.05	5000	22000	4	0	5000000	4	1	3500	0.0002	0.1	5	0.35	0.8	2.5	0.7	1.4	5	5	missing	
SCOPE_17	2016	May	751	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	1	3500	0.0005	0.1	5	0.35	0.7	6	0.7	1.4	5	2	missing	
SCOPE_18	2016	July	751	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	1	3500	0.0005	0.2	5	0.4	0.8	6	0.6	1.5	5	3	missing	
SCOPE_19	2016	August	751	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	1	3500	0.0005	0.1	5	0.35	0.8	6	0.7	1.4	5	4	missing	
SCOPE_2	2015	March	740	NA	NA	NA	NA	11.95	12.05	3000	18000	2	0	5000000	3	1	3500	0.001	0.1	5	0.35	0.7	6	0.7	1.4	5	6	missing	
SCOPE_3	2015	May	740	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	1	3500	0.005	0.1	5	0.35	0.7	6	0.7	1.4	5	4	missing	
SCOPE_4	2015	June	740	NA	NA	NA	NA	11.95	12.05	5000	18000	4	100000	5000000	4	1	3500	0.005	0.1	5	0.35	0.75	6	0.7	1.4	5	4	missing	
SCOPE_5	2015	July	740	NA	NA	NA	NA	6	12.05	5000	18000	4	0	5000000	4	1	3500	0.005	0.1	5	0.35	0.7	6	0.7	1.4	5	3	missing	
SCOPE_6	2015	July	740	NA	NA	NA	NA	11.95	12.05	10000	18000	4	0	5000000	4	1	3500	0.005	0.1	5	0.35	0.7	6	0.7	1.4	5	4	missing	
SCOPE_9	2015	September	751	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	1	3500	0.005	0.1	5	0.35	0.7	6	0.7	1.4	5	4	missing	
SCOPE_Falkor1	2018	March	751	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	1	3500	0.008	0.02	5	0.35	0.7	6	0.7	1.4	5	4	missing	
SCOPE_Falkor2	2018	March	751	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	1	3500	0.005	0.012	2	0.38	0.7	6	0.7	1.4	5	2	missing	
SCOPE-PARAGON	2021	July	740v2	NA	NA	NA	NA	11.95	12.05	3000	18000	2	0	5000000	2	300	3500	0.01	0.05	3	0.35	0.9	6	0.7	1.4	6	6	0	
SCOPE-PARAGONII	2022	August	740v2	NA	NA	NA	NA	11.95	12.05	8000	18000	4	0	5000000	4	300	3500	0.0001	0.01	5	0.35	0.9	6	0.7	1.4	6	10	NULL	
SR1917	2019	November	751	NA	NA	NA	NA	11.95	12.05	2000	16000	4	0	5000000	5	100	3500	0.001	0.01	5	0.35	0.75	6	0.7	1.4	5	8	missing	
Thompson_0	2009	November	740	NA	NA	NA	NA	11.95	12.05	2000	18000	2	0	5000000	5	30	1000	0.001	0.05	7	0.35	1.25	6	0.7	2	6	6	0	
Thompson_1	2010	May	740	NA	NA	NA	NA	11.95	12.05	1500	18000	3	0	3500000	3	100	200	0.0001	0.01	5	NA	NA	NA	1	1.3	5	8	0	
Thompson_10	2012	May	740	2012-05-19 15:00	leq	NA	NA	11.95	12.05	5000	18000	2	0	3000000	3	100	140	0.0001	0.01	5	NA	NA	NA	1.1	1.4	5	8	0	
Thompson_11	2013	January	740	NA	NA	NA	NA	11.95	12.05	2000	18000	2	0	5000000	2.5	300	3500	0.001	0.02	2	0.35	0.9	6	0.7	1.4	5	9	0	
Thompson_12	2013	March	740	NA	NA	NA	NA	11.95	12.05	1000	18000	4	0	5000000	4	1	3500	0.001	0.1	5	0.35	0.9	6	0.7	1.4	5	4	missing	
Thompson_3	2010	July	740	NA	NA	NA	NA	11.95	12.05	200	18000	4	0	5000000	5	10	1000	0.0001	0.05	7	0.35	1.25	6	0.7	1.4	6	8	NULL	
Thompson_4	2010	November	740	NA	NA	NA	NA	11.95	12.05	1500	18000	4	0	5000000	4	300	1000	0.0001	0.1	5	0.35	0.95	6	0.7	1.4	5	9	0	
Thompson_5	2011	January	740	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	5000000	4	100	1000	0.0001	0.1	5	0.35	1.5	6	0.7	2.3	5	9	0	
Thompson_6	2011	May	740	NA	NA	NA	NA	11.95	12.05	75	18000	4	0	5000000	4	70	150	0.001	0.3	5	0.35	1.5	6	0.7	2.3	5	9	0	
Thompson_8	2011	October	740	NA	NA	NA	NA	11.95	12.05	3000	18000	2	0	5000000	2.5	300	3500	0.0001	0.02	2	0.35	0.9	6	0.6	1.4	5	9	0	
Thompson_9	2011	October	740	NA	NA	NA	NA	11.95	12.05	500	3500	4	0	5000000	4	1	3500	0.003	0.1	5	0.35	0.7	6	0.75	1.4	5	4	missing	
TN265	2011	June	740	NA	NA	NA	NA	11.95	12.05	75	18000	4	0	1000000	4	50	1000	0.0001	0.03	5	0.35	1.7	6	0.7	2.5	5	9	0	
